page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
49833,A (Earth-616),\/A_(Earth-616),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,3,Feb-01,2001
168426,A Friend (Earth-616),\/A_Friend_(Earth-616),,,,,Male Characters,,Living Characters,11,Dec-74,1974
18286,A'Kurru U'mbaya (Earth-616),\/A%27Kurru_U%27mbaya_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,1,Dec-92,1992
2144,A'Lars (Earth-616),\/A%27Lars_(Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,1,Feb-73,1973
19488,A'Sai (Earth-616),\/A%27Sai_(Earth-616),Secret Identity,,Yellow Eyes,Bald,Male Characters,,Living Characters,1,Jan-88,1988
18496,A'kane (Earth-616),\/A%27kane_(Earth-616),No Dual Identity,,,Black Hair,Female Characters,,Deceased Characters,1,Dec-95,1995
85037,A'yin (Earth-616),\/A%27yin_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,,Living Characters,1,Mar-97,1997
27254,A. G. Bell (Earth-616),\/A._G._Bell_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3,,2013
554884,A. Summers (Earth-616),\/A._Summers_(Earth-616),No Dual Identity,Neutral Characters,,Black Hair,Female Characters,,Deceased Characters,1,Nov-87,1987
752403,A.C. O'Connor (Earth-616),\/A.C._O%27Connor_(Earth-616),No Dual Identity,Neutral Characters,,Blond Hair,Female Characters,,Deceased Characters,1,Sep-80,1980
485921,A.J. Raffles (Earth-616),\/A.J._Raffles_(Earth-616),,Good Characters,,Blond Hair,Male Characters,,Living Characters,1,Mar-43,1943
689379,A3 (Earth-616),\/A3_(Earth-616),,Bad Characters,,,,,Deceased Characters,2,Jul-69,1969
3805,AC-DC (Earth-616),\/AC-DC_(Earth-616),Secret Identity,Neutral Characters,Red Eyes,Bald,Male Characters,,Living Characters,15,Jul-85,1985
516687,Aa-Gorn (Earth-616),\/Aa-Gorn_(Earth-616),No Dual Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,1,Aug-91,1991
